id,title,price,city,post_date,negotiable,exchangeable,description,url
0,Samsung Galaxy Note 10 Plus Aura Glow + sluchawki Buds Pro,2 000,Pilawa Dolna,14 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/samsung-galaxy-note-10-plus-aura-glow-sluchawki-buds-pro-CID99-IDPC3o4.html
2,Redmi Note 10 pro,900,Bochnia,18 czerwca 2022,True,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-CID99-IDPEyKj.html
3,Redmi note 10 pro,900,Koszalin,20 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-CID99-IDPGlaZ.html
5,Redmi Note 10 Pro,1 100,Sosnowiec,17 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-CID99-IDORlDN.html
7,Telefon Redmi note pro 10,1 200,Jaworzno,12 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/telefon-redmi-note-pro-10-CID99-IDPAelW.html
8,Sprzedam telefon redmi note 10 pro,650,Swarzedz,Odswiezono Dzisiaj o 08:24,True,False,,https://www.olx.pl/d/oferta/sprzedam-telefon-redmi-note-10-pro-CID99-IDPFCDK.html
9,Redmi Note 10 Pro nowy,1 300,Krosno,24 maja 2022,True,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-nowy-CID99-IDOUi11.html
10,Xaomi redmi note 10 pro 6/128,950,Swinoujscie,Dzisiaj o 06:10,True,False,,https://www.olx.pl/d/oferta/xaomi-redmi-note-10-pro-6-128-CID99-IDPGxXw.html
11,Redmi Note 10 pro 8/128,1 250,Biala Podlaska,20 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-8-128-CID99-IDP2PdB.html
12,Redmi Note 10 pro,899,Lublin,05 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-CID99-IDPiFkR.html
13,Redmi Note 10 pro,1 100,"Czestochowa, Trzech Wieszczow",31 maja 2022,False,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-CID99-IDPqK7F.html
14,Sprzedam Xiaomi Redmi Note 11 4GB RAM 128GB ROM Graphite Gray (Szary),810,Knurow,16 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/sprzedam-xiaomi-redmi-note-11-4gb-ram-128gb-rom-graphite-gray-szary-CID99-IDPDiFE.html
15,JAK NOWY Xiaomi Redmi Note 8 PRO 6/64 64mpx BLUE GWARANCJA,"539,99",Staszow,16 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/jak-nowy-xiaomi-redmi-note-8-pro-6-64-64mpx-blue-gwarancja-CID99-IDPCTE3.html
16,Telefon Redmi Note 10 Pro idealny + dodatki,890,"Krakow, Debniki",20 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/telefon-redmi-note-10-pro-idealny-dodatki-CID99-IDPG9wA.html
17,Redmi Note 10 pro,1 200,Koszalin,27 maja 2022,False,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-CID99-IDMwwMX.html
18,Xiaomi Redmi Note 10 Pro,1 100,"Olesnica, Olesnica",13 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/xiaomi-redmi-note-10-pro-CID99-IDPAXH5.html
19,Smartfon Xiaomi Redmi Note 10 Pro 10 PRO  6/128GB,1 199,Zielona Gora,20 czerwca 2022,True,False,,https://www.olx.pl/d/oferta/smartfon-xiaomi-redmi-note-10-pro-10-pro-6-128gb-CID99-IDPFIv0.html
20,Xioami Note 10 Pro Okazja,900,Kielce,20 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/xioami-note-10-pro-okazja-CID99-IDP8Q8J.html
21,Redmi Note 10 Pro,1 200,Rakowiec,28 maja 2022,True,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-CID99-IDPnCw1.html
22,Redmi Note 10 Pro,980,"Bialystok, Sienkiewicza",19 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-CID99-IDPiARy.html
23,Redmi Note 10 Pro,1 200,"Krakow, Biezano",rokocim - Odswiezono dnia 13 czerwca 2022,True,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-CID99-IDPphsK.html
25,Sprzedam Xiaomi redmi note 10 pro,370,Lipnik,Dzisiaj o 04:35,False,False,,https://www.olx.pl/d/oferta/sprzedam-xiaomi-redmi-note-10-pro-CID99-IDPGvyD.html
26,Redmi Note 10 Pro Onyx Gray,1 050,Zabrze,15 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/redmi-note-10-pro-onyx-gray-CID99-IDPCE0N.html
27,Xiaomi Redmi Note 10 pro,950,Tomaszow Mazowiecki,20 czerwca 2022,False,False,,https://www.olx.pl/d/oferta/xiaomi-redmi-note-10-pro-CID99-IDPGiLL.html
28,Xiaomi Redmi Note 10 Pro,1 200,Nieborow,28 maja 2022,True,False,,https://www.olx.pl/d/oferta/xiaomi-redmi-note-10-pro-CID99-IDPofs1.html
29,Xioami redmi note 10 pro,800,Lublin,29 maja 2022,True,False,,https://www.olx.pl/d/oferta/xioami-redmi-note-10-pro-CID99-IDO2Ywp.html
